US Senator,Precinct,Jim Huffman (REP),Rick Staggenborg (PRO),Ron Wyden (DEM),Marc Delphine (LIB),Bruce Cronk (WFP),Write-ins,Trnout,Over Votes,Under Votes
,1,135,0,172,3,2,0,312,1,10
,2,127,3,115,4,7,0,256,0,12
,3,48,2,64,2,5,1,122,0,4
,4,477,2,248,4,8,0,739,0,16
,5,716,8,506,8,13,1,1252,0,26
,6,207,5,236,2,7,1,458,1,6
,7,135,2,47,3,4,0,191,0,3
,8,187,6,151,4,11,0,359,1,13
,9,86,1,47,2,0,0,136,0,1
,10,124,3,152,1,8,0,288,0,3
,11,732,4,424,10,8,0,1178,0,14
,12,65,1,18,0,1,0,85,0,3
,13,307,1,215,6,10,1,540,0,8
,14,114,0,107,6,8,0,235,0,2
,15,386,3,298,2,8,1,698,0,12
,16,257,5,149,3,9,0,423,0,4
,17,781,17,714,13,45,3,1573,0,28
,TOTAL,4884,63,3663,73,154,8,8845,3,165
US Rep 2nd Dist,Precinct,Joyce B Segers (DEM),Greg Walden (REP),Write-ins,Trnout,Over Votes,Under Votes,,,
,1,83,227,1,311,0,12,,,
,2,55,195,0,250,0,18,,,
,3,34,86,1,121,0,5,,,
,4,91,636,2,729,0,26,,,
,5,224,1009,2,1235,0,43,,,
,6,124,326,3,453,0,12,,,
,7,18,169,0,187,0,7,,,
,8,78,269,0,347,0,26,,,
,9,19,112,0,131,0,6,,,
,10,68,220,1,289,0,2,,,
,11,181,985,1,1167,0,25,,,
,12,14,72,0,86,0,2,,,
,13,88,444,2,534,0,14,,,
,14,63,166,0,229,0,8,,,
,15,117,562,1,680,0,30,,,
,16,74,341,1,416,0,11,,,
,17,350,1196,5,1551,0,50,,,
,TOTAL,1681,7015,20,8716,0,297,,,
Governor,Precinct,John Kitzhaber (DEM),Greg Kord (CON),Wes Wagner (LIB),Chris Dudley (REP),Write-ins,Trnout,Over Votes,Under Votes,
,1,120,3,7,184,0,314,0,9,
,2,75,7,4,169,1,256,1,11,
,3,45,5,6,67,1,124,0,2,
,4,151,11,14,568,1,745,0,10,
,5,311,30,10,905,3,1259,0,19,
,6,168,7,1,280,4,460,0,5,
,7,25,2,2,157,1,187,0,7,
,8,106,9,10,238,0,363,0,10,
,9,24,4,4,105,0,137,0,0,
,10,97,7,6,177,0,287,0,4,
,11,284,7,7,882,0,1180,0,12,
,12,13,0,0,74,0,87,0,1,
,13,107,5,12,410,3,537,0,11,
,14,68,17,6,140,1,232,0,5,
,15,162,10,14,509,1,696,1,13,
,16,91,8,8,314,1,422,0,5,
,17,467,20,33,1052,4,1576,0,25,
,TOTAL,2314,152,144,6231,21,8862,2,149,
State Treasurer,Precinct,Walter F (Walt) Brown (PRO),Chris Telfer (REP),Ted Wheeler (DEM),Michael Marsh (CON),Write-ins,Trnout,Over Votes,Under Votes,
,1,9,174,113,4,0,300,0,23,
,2,6,146,74,11,0,237,0,31,
,3,3,64,44,7,0,118,0,8,
,4,11,516,164,8,0,699,0,56,
,5,26,814,316,17,2,1175,1,102,
,6,8,252,160,10,3,433,0,32,
,7,0,143,31,7,0,181,0,13,
,8,17,198,99,12,0,326,0,47,
,9,4,85,30,7,0,126,0,11,
,10,9,155,98,7,0,269,1,21,
,11,20,813,261,19,1,1114,0,78,
,12,3,71,11,1,0,86,0,2,
,13,11,370,124,8,0,513,0,35,
,14,3,137,69,14,0,223,0,14,
,15,11,449,164,26,2,652,0,58,
,16,5,270,98,9,0,382,1,44,
,17,53,887,482,55,2,1479,0,122,
,TOTAL,199,5544,2338,222,10,8313,3,697,
State Rep 55th Dist,Precinct,Mike McLane (REP),Write-ins,Trnout,Over Votes,Under Votes,,,,
,1,233,5,238,0,85,,,,
,2,190,11,201,0,67,,,,
,3,85,1,86,0,40,,,,
,4,516,6,522,0,233,,,,
,5,907,23,930,0,348,,,,
,6,344,8,352,0,113,,,,
,7,130,4,134,0,60,,,,
,8,252,5,257,0,116,,,,
,9,99,2,101,0,36,,,,
,10,211,4,215,0,76,,,,
,11,825,13,838,0,354,,,,
,12,59,0,59,0,29,,,,
,13,398,7,405,0,143,,,,
,14,175,6,181,0,56,,,,
,15,485,6,491,0,219,,,,
,16,293,4,297,0,130,,,,
,17,1049,20,1069,0,532,,,,
,TOTAL,6251,125,6376,0,2637,,,,
