SENATOR (DEM),Precincts,"GOBERMAN, PAVEL","MERKLEY, JEFF","BRYK, WILLIAM",UNDERVOTES,OVERVOTES,,,
,1,9,225,21,33,0,,,
,2,9,277,16,50,0,,,
,3,10,223,9,15,0,,,
,4,14,203,11,25,0,,,
,5,7,186,11,20,0,,,
,6,1,45,3,3,0,,,
,7,1,96,2,17,1,,,
,8,2,20,1,4,0,,,
,9,4,74,6,7,0,,,
,10,3,72,9,3,0,,,
,11,0,31,6,6,0,,,
,12,1,51,3,5,0,,,
,13,3,14,1,2,0,,,
,14,0,8,1,0,0,,,
,TOTAL,64,1525,100,190,1,,,
REP IN CONGRESS 2ND DIST (DEM),Precincts,"VULLIET, C F (FRANK)","CHRISTOFFERSON, AELEA","SPERA, BARNEY",UNDERVOTES,OVERVOTES,,,
,1,36,102,41,103,0,,,
,2,46,103,51,149,0,,,
,3,32,106,37,81,0,,,
,4,27,96,34,97,0,,,
,5,24,96,34,69,0,,,
,6,7,26,3,15,1,,,
,7,6,49,10,52,0,,,
,8,7,9,4,8,0,,,
,9,15,37,21,17,0,,,
,10,6,40,17,24,0,,,
,11,3,17,5,17,0,,,
,12,7,22,11,21,0,,,
,13,5,8,2,6,0,,,
,14,0,4,2,3,0,,,
,TOTAL,221,715,272,662,1,,,
GOVERNOR (DEM),Precincts,"DIRU, IFEANYICHUKWU","KITZHABER, JOHN",UNDERVOTES,OVERVOTES,,,,
,1,52,220,18,0,,,,
,2,45,271,33,0,,,,
,3,36,206,17,0,,,,
,4,40,197,16,0,,,,
,5,30,171,21,0,,,,
,6,5,45,2,0,,,,
,7,13,92,10,0,,,,
,8,5,18,4,0,,,,
,9,18,63,8,0,,,,
,10,20,57,9,0,,,,
,11,10,32,0,0,,,,
,12,12,42,6,0,,,,
,13,3,14,3,0,,,,
,14,5,3,1,0,,,,
,TOTAL,294,1431,148,0,,,,
STATE REPRESENTATIVE DIST 59 (DEM),Precincts,UNDERVOTES,OVERVOTES,,,,,,
,1,269,0,,,,,,
,2,338,0,,,,,,
,3,245,0,,,,,,
,4,246,0,,,,,,
,5,221,0,,,,,,
,6,48,0,,,,,,
,7,119,0,,,,,,
,8,28,0,,,,,,
,9,87,0,,,,,,
,10,84,0,,,,,,
,TOTAL,1685,0,,,,,,
STATE REPRESENTATIVE DIST 57 (DEM),Precincts,UNDERVOTES,OVERVOTES,,,,,,
,11,43,0,,,,,,
,12,58,0,,,,,,
,13,20,0,,,,,,
,14,9,0,,,,,,
,TOTAL,130,0,,,,,,
SENATOR (REP),Precincts,"WEHBY, MONICA",PERKINS JO RAE,"CALLAHAN, MARK","CRAWLEY, TIMOTHY I","CONGER, JASON",UNDERVOTES,OVERVOTES,
,1,139,10,18,12,80,24,1,
,2,135,11,15,6,99,40,0,
,3,122,11,18,8,72,27,1,
,4,164,5,12,1,77,32,0,
,5,100,3,18,6,58,14,0,
,6,23,3,3,1,24,1,0,
,7,89,0,6,6,65,19,0,
,8,34,2,1,2,18,3,0,
,9,42,1,7,3,30,7,0,
,10,36,1,7,0,45,6,1,
,11,50,0,2,3,14,5,0,
,12,70,2,9,2,28,20,0,
,13,11,1,2,2,7,3,0,
,14,11,2,3,0,19,2,0,
,TOTAL,1026,52,121,52,636,203,3,
REP IN CONGRESS 2ND DIST (REP),Precincts,"WALDEN, GREG","LINTHICUM, DENNIS",UNDERVOTES,OVERVOTES,,,,
,1,228,50,5,1,,,,
,2,246,42,18,0,,,,
,3,210,41,7,1,,,,
,4,244,38,10,0,,,,
,5,158,37,4,0,,,,
,6,45,10,0,0,,,,
,7,148,32,6,0,,,,
,8,55,5,0,0,,,,
,9,65,17,8,0,,,,
,10,78,14,4,0,,,,
,11,63,5,6,0,,,,
,12,112,20,0,0,,,,
,13,23,1,2,0,,,,
,14,26,11,0,0,,,,
,TOTAL,1701,323,70,2,,,,
GOVERNOR (REP),Precincts,"CUFF, BRUCE A","CHALLSTROM, GORDON","CARR, TIM","RICHARDSON, DENNIS","RAFFERTY, MAE","KARR, DARREN",UNDERVOTES,OVERVOTES
,1,32,24,21,129,21,0,55,0
,2,24,18,17,149,23,5,69,0
,3,10,17,16,135,26,3,51,0
,4,14,12,18,161,23,4,59,0
,5,18,28,6,110,10,1,25,0
,6,8,4,2,25,5,1,9,1
,7,9,8,5,124,11,1,23,0
,8,1,3,3,42,4,0,7,0
,9,10,11,3,44,4,1,15,1
,10,8,14,4,45,6,0,19,0
,11,1,6,1,46,2,0,18,0
,12,5,10,8,65,7,0,37,0
,13,1,2,2,14,4,0,3,0
,14,5,1,2,16,3,3,5,1
,TOTAL,146,158,108,1105,149,19,395,3
STATE REPRESENTATIVE DIST 59 (REP),Precincts,"HUFFMAN, JOHN E","STORKSON, BRITT",UNDERVOTES,OVERVOTES,,,,
,1,238,26,20,0,,,,
,2,247,36,23,0,,,,
,3,223,18,17,1,,,,
,4,260,18,14,0,,,,
,5,170,20,9,0,,,,
,6,48,5,2,0,,,,
,7,158,15,9,0,,,,
,8,51,7,2,0,,,,
,9,66,7,17,0,,,,
,10,83,7,6,0,,,,
,TOTAL,1544,159,119,1,,,,
STATE REPRESENTATIVE DIST 57 (REP),Precincts,"SMITH, GREG",UNDERVOTES,OVERVOTES,,,,,
,11,48,26,0,,,,,
,12,105,26,0,,,,,
,13,18,8,0,,,,,
,14,23,14,0,,,,,
,TOTAL,194,74,0,,,,,
